City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Grand Baie,MU,79.45,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
255,Santa Cruz,BO,82.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
256,Aripuana,BR,74.93,overcast clouds,-9.1667,-60.6333,
257,Mabaruma,GY,73.71,clear sky,8.2,-59.7833,Monty Brooms Guest House
258,Caapucu,PY,74.17,moderate rain,-26.2167,-57.2,Porton Estancia Santa Clara
259,Salalah,OM,71.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
260,Tarata,BO,65.62,light rain,-17.6167,-66.0167,Hacienda castillo
261,Maun,BW,69.8,light rain,-19.9833,23.4167,Enviro Villa
262,Kibala,TD,75.45,few clouds,9.1104,18.3463,hotel safari
263,Young,UY,78.22,overcast clouds,-32.6833,-57.6333,Posada Gira el Sol
268,Morondava,MG,81.19,broken clouds,-20.2833,44.2833,La Case Bambou
270,Muana,BR,74.71,moderate rain,-1.5283,-49.2167,Pousada Bella do Marajó
273,Cabo San Lucas,MX,72.7,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
275,Pochutla,MX,87.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
276,Cairns,AU,80.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
278,Capitao Poco,BR,73.65,moderate rain,-1.7464,-47.0594,Hotel New Tokyo
283,Saint-Joseph,RE,79.16,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
287,San Jose,US,68.31,clear sky,37.3394,-121.895,The Westin San Jose
290,San,ML,74.7,clear sky,13.3034,-4.8956,Hôtel Teriya
291,Hambantota,LK,73.0,few clouds,6.1241,81.1185,Bungalow 63
292,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
295,Chiredzi,ZW,72.59,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
296,Port Lincoln,AU,66.83,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
298,Fort Pierce,US,79.09,clear sky,27.4467,-80.3256,Hutchinson Island Plaza Hotel & Suites
299,Constitucion,CL,64.24,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
302,Butterworth,MY,79.0,scattered clouds,5.3991,100.3638,Cititel Penang
303,Casablanca,MA,60.33,overcast clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
304,Los Llanos De Aridane,ES,60.55,clear sky,28.6585,-17.9182,Valle Aridane
305,Riyadh,SA,66.34,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
306,Nigel,ZA,63.39,moderate rain,-26.4314,28.4771,Nambiti Lodge
309,San Carlos,VE,80.64,broken clouds,9.6612,-68.5827,Hotel Paternopoli
312,Thinadhoo,MV,81.43,overcast clouds,0.5333,72.9333,
314,Tambura,SS,74.07,overcast clouds,5.6,27.4667,Rikito Lodge
315,Prachuap Khiri Khan,TH,75.69,scattered clouds,12.2167,99.75,ผกากรองรีสอร์ท
318,Bumbuna,SL,71.65,clear sky,9.05,-11.7333,
319,Ariquemes,BR,74.03,heavy intensity rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
321,Celestun,MX,76.39,clear sky,20.8667,-90.4,Posada Lilia
324,Oussouye,SN,77.18,clear sky,12.485,-16.5469,Auberge du Routard
325,Havelock,US,73.63,broken clouds,34.8791,-76.9013,Sherwood Motel
327,Port Macquarie,AU,67.96,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
329,Sijunjung,ID,70.29,moderate rain,-0.6876,100.9537,Hotel Bukik Gadang
