City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
492,Carutapera,BR,76.21,overcast clouds,-1.195,-46.02,Lidera
493,Kalmunai,LK,73.2,scattered clouds,7.4167,81.8167,VS Villa
497,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
498,Asilah,MA,62.46,overcast clouds,35.465,-6.0348,Hotel Zelis
499,Sao Sebastiao,BR,76.48,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
500,Vayalar,IN,69.78,broken clouds,9.7,76.3333,Vasundhara Sarovar Premiere
501,Waingapu,ID,79.07,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
506,Puerto Del Rosario,ES,67.68,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
507,Lahaina,US,85.24,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
511,Port Keats,AU,79.61,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
513,Pacifica,US,67.73,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
516,Paita,PE,77.56,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
521,Taganak,PH,75.34,light rain,6.0833,118.3,Taganak
524,Ipojuca,BR,82.31,scattered clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
525,Airai,TL,64.67,overcast clouds,-8.9266,125.4092,
528,Nakhon Nayok,TH,79.02,scattered clouds,14.1667,101.1,ห้างหุ้นส่วนจำกัด เอสพีรีสอร์ท
530,Keti Bandar,PK,68.7,clear sky,24.1447,67.4497,Haji laloo memon house
531,Nortelandia,BR,76.28,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
532,Gizo,SB,83.41,moderate rain,-8.103,156.8419,Imagination Island
535,Barabai,ID,73.76,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
541,Kannur,IN,67.53,broken clouds,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
542,Plettenberg Bay,ZA,64.69,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
545,Waiuku,NZ,81.99,broken clouds,-37.25,174.75,Waiuku Lodge Motel
548,Inyonga,TZ,63.64,light rain,-6.7167,32.0667,Eden Rock Lodge
552,Ahuimanu,US,80.37,clear sky,21.4447,-157.8378,Paradise Bay Resort
554,The Valley,AI,73.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
555,Ugoofaaru,MV,81.09,clear sky,5.6667,73.0,Ungoofaaru Inn
561,Wanganui,NZ,63.73,light rain,-39.9333,175.05,Aotea Motor Lodge
562,Camacari,BR,82.17,scattered clouds,-12.6975,-38.3242,Hotel Cambuci
564,Mareeba,AU,75.43,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
565,Salcedo,PH,74.25,overcast clouds,12.8105,121.4674,Yamaji Freeman Farm
566,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
569,San Felipe,VE,71.58,clear sky,10.3399,-68.7425,Posada Llovizna Rodríguez
570,Honiara,SB,84.2,overcast clouds,-9.4333,159.95,Heritage Park Hotel
571,Bukoba,TZ,67.93,overcast clouds,-1.3317,31.8122,Elct Bukoba Hotel and Tours
572,Cacoal,BR,75.61,moderate rain,-11.4386,-61.4472,Hotel BR 364
573,Dicabisagan,PH,73.99,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
574,Sola,VU,81.7,light rain,-13.8833,167.55,Leumerus Bungalows
575,Azare,NG,62.55,clear sky,11.6765,10.1948,Mallam Ayuba Compound
579,Pacific Grove,US,70.57,clear sky,36.6177,-121.9166,Lovers Point Inn
580,Waiouru,NZ,62.02,overcast clouds,-39.4833,175.6667,Tawhiri
581,San Lorenzo,PY,74.59,thunderstorm with light rain,-25.3333,-57.5333,Hotel del Sur
582,Guanhaes,BR,68.2,overcast clouds,-18.775,-42.9325,CARAVELLE HOTEL Guanhães - MG
584,Samarai,PG,83.97,overcast clouds,-10.6167,150.6667,Nuli Sapi
585,Tabuk,PH,68.13,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
586,Kaniama,CD,62.15,overcast clouds,-7.5667,24.1833,
587,Da Nang,VN,67.98,broken clouds,16.0678,108.2208,Sun River Hotel
588,Itarema,BR,79.65,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
591,Kandete,TZ,60.19,overcast clouds,-9.15,33.8,
592,Bitung,ID,72.45,overcast clouds,1.4451,125.1824,K2 Lembeh
593,Simbahan,PH,79.97,overcast clouds,6.3032,120.5836,
594,Alvaraes,BR,76.87,overcast clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
595,Maturin,VE,78.28,clear sky,9.75,-63.1767,Hotel Residencial La Pichincha
596,Zaraza,VE,78.4,broken clouds,9.3503,-65.3245,Hotel Zaraza
597,Ulladulla,AU,67.1,overcast clouds,-35.35,150.4667,Sandpiper Motel
598,Sambava,MG,76.62,light rain,-14.2667,50.1667,Melrose
599,Impfondo,CG,72.64,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
601,Gamba,GA,75.76,broken clouds,-2.65,10.0,
603,Katsina,NG,61.07,clear sky,12.9894,7.6006,Katsina Motel
606,Rio Grande,BR,76.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
607,Lai,TD,72.88,scattered clouds,9.3952,16.2989,
608,Byron Bay,AU,75.06,overcast clouds,-28.65,153.6167,Backpackers Inn
