City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Nemuro,JP,2022-02-04 22:30:10,43.3236,145.575,23.13,69,21,11.7,few clouds
142,Oriximina,BR,2022-02-04 22:27:17,-1.7656,-55.8661,77.04,88,100,1.16,overcast clouds
143,Basar,IN,2022-02-04 22:27:46,27.9833,94.6667,49.44,99,100,3.22,moderate rain
144,Genhe,CN,2022-02-04 22:30:11,50.7833,121.5167,-3.93,99,100,3.02,overcast clouds
145,Vostok,RU,2022-02-04 22:30:11,46.4856,135.8833,-9.89,98,100,2.86,overcast clouds
146,Nishihara,JP,2022-02-04 22:27:46,26.1842,127.7558,58.28,67,100,11.5,overcast clouds
147,South Lake Tahoe,US,2022-02-04 22:30:12,38.9332,-119.9844,47.52,42,0,5.75,clear sky
148,Grindavik,IS,2022-02-04 22:29:11,63.8424,-22.4338,27.07,74,100,12.66,overcast clouds
149,Richards Bay,ZA,2022-02-04 22:30:13,-28.783,32.0377,71.87,95,100,16.37,heavy intensity rain
150,Narsaq,GL,2022-02-04 22:30:13,60.9167,-46.05,5.22,61,11,13.51,few clouds
151,Namatanai,PG,2022-02-04 22:30:13,-3.6667,152.4333,83.8,70,86,8.59,overcast clouds
152,Rorvik,NO,2022-02-04 22:30:14,64.8621,11.2373,37.51,52,40,25.32,scattered clouds
153,Adrar,MR,2022-02-04 22:30:14,20.5022,-10.0711,66.54,10,32,9.64,scattered clouds
154,Coihaique,CL,2022-02-04 22:30:13,-45.5752,-72.0662,75.15,35,20,5.75,few clouds
155,Coquimbo,CL,2022-02-04 22:30:14,-29.9533,-71.3436,67.73,68,0,10.36,clear sky
156,Mount Gambier,AU,2022-02-04 22:30:15,-37.8333,140.7667,60.71,77,99,12.66,overcast clouds
157,Torbay,CA,2022-02-04 22:30:15,47.6666,-52.7314,32.76,96,100,12.66,mist
158,Soeng Sang,TH,2022-02-04 22:30:15,14.4264,102.4606,64.31,74,15,4.74,few clouds
159,Ryotsu,JP,2022-02-04 22:30:16,38.0833,138.4333,31.96,65,100,22.26,light snow
160,Vila Franca Do Campo,PT,2022-02-04 22:30:16,37.7167,-25.4333,61.2,77,100,10.27,overcast clouds
161,Tecoanapa,MX,2022-02-04 22:30:16,16.5167,-98.75,80.87,61,0,7.94,clear sky
162,Nanortalik,GL,2022-02-04 22:20:25,60.1432,-45.2371,10.94,73,100,41.05,overcast clouds
163,Chokwe,MZ,2022-02-04 22:25:56,-24.5333,32.9833,77.16,62,12,9.64,few clouds
164,Charters Towers,AU,2022-02-04 22:26:37,-20.1,146.2667,75.15,75,70,13.31,broken clouds
165,Harper,LR,2022-02-04 22:30:17,4.375,-7.7169,79.92,81,31,7.85,scattered clouds
166,Bontang,ID,2022-02-04 22:30:17,0.1333,117.5,75.9,85,99,4.25,overcast clouds
167,Katsuura,JP,2022-02-04 22:29:11,35.1333,140.3,44.62,57,39,18.3,scattered clouds
168,Lieksa,FI,2022-02-04 22:30:18,63.3167,30.0167,17.35,81,100,18.59,light snow
169,Pevek,RU,2022-02-04 22:30:19,69.7008,170.3133,-23.4,100,88,6.06,overcast clouds
170,Mulchen,CL,2022-02-04 22:30:19,-37.7167,-72.2333,80.46,37,7,8.9,clear sky
171,Monrovia,LR,2022-02-04 22:30:19,6.3005,-10.7969,78.57,82,39,5.32,scattered clouds
172,Itapora,BR,2022-02-04 22:30:20,-22.0799,-54.7874,78.57,75,72,8.81,broken clouds
173,San Cristobal,VE,2022-02-04 22:29:56,7.7669,-72.225,77.18,79,84,2.82,broken clouds
174,Panzhihua,CN,2022-02-04 22:30:20,26.5851,101.7128,43.68,75,0,1.43,clear sky
175,Zhigansk,RU,2022-02-04 22:30:21,66.7697,123.3711,-29.88,99,99,5.14,overcast clouds
176,Cortez,US,2022-02-04 22:30:21,37.3489,-108.5859,39.42,33,0,0.0,clear sky
177,Mapiripan,CO,2022-02-04 22:30:22,2.8892,-72.1256,84.36,54,97,2.91,overcast clouds
178,Nome,US,2022-02-04 22:30:22,64.5011,-165.4064,6.87,56,0,10.36,clear sky
179,Mackenzie,CA,2022-02-04 22:29:07,55.2999,-123.1698,35.82,87,40,18.41,scattered clouds
180,Valparaiso,CL,2022-02-04 22:30:15,-33.0393,-71.6273,71.24,61,0,10.36,clear sky
181,Ossora,RU,2022-02-04 22:31:22,59.2353,163.0719,8.15,78,100,5.59,overcast clouds
182,Lukulu,ZM,2022-02-04 22:31:23,-14.3707,23.242,64.6,95,81,3.94,broken clouds
183,Bluff,NZ,2022-02-04 22:31:23,-46.6,168.3333,55.8,58,93,6.02,overcast clouds
184,Bundibugyo,UG,2022-02-04 22:31:24,0.7414,30.0417,74.93,49,100,3.27,overcast clouds
185,Akersberga,SE,2022-02-04 22:31:24,59.4794,18.2997,36.1,94,100,6.29,overcast clouds
186,Astoria,US,2022-02-04 22:31:24,46.1879,-123.8313,49.89,92,100,7.0,overcast clouds
187,Krasnovishersk,RU,2022-02-04 22:31:25,60.4078,57.082,9.14,95,100,3.44,overcast clouds
188,Ust-Ilimsk,RU,2022-02-04 22:31:25,58.0006,102.6619,5.99,97,100,5.26,overcast clouds
189,Jurado,CO,2022-02-04 22:31:25,7.1053,-77.7641,79.36,84,56,4.18,light rain
190,Katherine,AU,2022-02-04 22:31:26,-14.4667,132.2667,77.32,94,97,4.61,overcast clouds
191,Novouzensk,RU,2022-02-04 22:31:26,50.4592,48.1431,32.0,99,100,7.76,overcast clouds
192,Kaitangata,NZ,2022-02-04 22:29:31,-46.2817,169.8464,58.93,53,82,5.91,broken clouds
193,Rach Gia,VN,2022-02-04 22:30:12,10.0167,105.0833,73.35,87,34,9.31,scattered clouds
194,Touros,BR,2022-02-04 22:31:27,-5.1989,-35.4608,81.5,71,12,13.96,few clouds
195,Ashland,US,2022-02-04 22:31:27,40.8167,-82.2665,21.58,89,100,6.76,light snow
196,Necochea,AR,2022-02-04 22:31:27,-38.5473,-58.7368,61.03,69,100,8.28,moderate rain
197,Kawalu,ID,2022-02-04 22:31:28,-7.3817,108.2082,71.87,93,90,2.53,overcast clouds
198,Evensk,RU,2022-02-04 22:28:23,61.95,159.2333,15.26,42,0,21.61,clear sky
199,Khatanga,RU,2022-02-04 22:31:28,71.9667,102.5,-37.07,100,66,3.02,broken clouds
200,Cockburn Town,TC,2022-02-04 22:31:29,21.4612,-71.1419,76.96,57,40,11.5,scattered clouds
201,Alofi,NU,2022-02-04 22:30:00,-19.0595,-169.9187,82.29,78,100,9.22,overcast clouds
202,Atherton,GB,2022-02-04 22:31:29,53.5237,-2.4935,41.9,81,24,3.0,few clouds
203,Dingle,PH,2022-02-04 22:31:29,10.9995,122.6711,74.34,90,97,10.78,overcast clouds
204,Ekhabi,RU,2022-02-04 22:31:30,53.5102,142.9671,1.58,93,100,21.12,overcast clouds
205,Santa Ines,BR,2022-02-04 22:31:30,-3.6667,-45.38,74.93,95,100,4.16,overcast clouds
206,Road Town,VG,2022-02-04 22:31:30,18.4167,-64.6167,73.49,88,20,13.8,few clouds
207,Rantauprapat,ID,2022-02-04 22:31:31,2.1,99.8333,71.67,96,99,2.01,overcast clouds
208,Ostrovnoy,RU,2022-02-04 22:31:31,68.0531,39.5131,8.71,91,100,16.49,overcast clouds
209,Provideniya,RU,2022-02-04 22:31:31,64.3833,-173.3,3.63,59,0,12.93,clear sky
210,Alyangula,AU,2022-02-04 22:31:32,-13.8483,136.4192,80.47,89,100,8.05,light intensity shower rain
211,Meridian,US,2022-02-04 22:31:29,43.6121,-116.3915,39.97,58,0,5.01,clear sky
212,North Platte,US,2022-02-04 22:27:42,41.1239,-100.7654,46.29,27,0,11.5,clear sky
213,Mogadishu,SO,2022-02-04 22:30:17,2.0371,45.3438,76.17,86,48,17.43,scattered clouds
214,Garmsar,IR,2022-02-04 22:31:32,35.2182,52.3409,49.77,43,19,4.85,few clouds
215,Skjervoy,NO,2022-02-04 22:31:33,70.0311,20.9714,23.76,64,100,24.18,overcast clouds
216,Husavik,IS,2022-02-04 22:31:33,66.0449,-17.3389,17.51,93,100,4.34,light snow
217,Sharan,RU,2022-02-04 22:31:34,54.8167,54.0,27.59,88,100,10.09,light snow
218,Horadiz,AZ,2022-02-04 22:31:34,39.4488,47.3353,49.12,58,100,2.68,overcast clouds
219,Pingliang,CN,2022-02-04 22:31:35,35.5392,106.6861,17.91,81,100,2.62,overcast clouds
220,Norman Wells,CA,2022-02-04 22:31:35,65.282,-126.8329,-16.56,63,75,19.57,broken clouds
221,Saint-Augustin,CA,2022-02-04 22:31:36,51.226,-58.6502,-2.96,86,100,7.9,overcast clouds
222,Tsaratanana,MG,2022-02-04 22:31:36,-16.7833,47.65,73.09,99,100,4.32,light rain
223,Puerto Palomas,MX,2022-02-04 22:31:37,31.7667,-107.6167,43.93,25,0,13.62,clear sky
224,Ilulissat,GL,2022-02-04 22:31:37,69.2167,-51.1,12.22,79,75,19.57,light shower snow
225,Banda Aceh,ID,2022-02-04 22:31:38,5.5577,95.3222,77.79,81,91,8.43,overcast clouds
226,Bemidji,US,2022-02-04 22:32:38,47.4736,-94.8803,5.25,69,0,10.36,clear sky
227,Palanpur,IN,2022-02-04 22:32:39,24.1667,72.4333,55.49,26,0,4.38,clear sky
228,Namibe,AO,2022-02-04 22:29:36,-15.1961,12.1522,72.75,73,98,8.23,overcast clouds
229,Tonantins,BR,2022-02-04 22:32:40,-2.8731,-67.8022,74.25,97,85,1.48,overcast clouds
230,Conde,BR,2022-02-04 22:32:40,-7.2597,-34.9075,80.06,78,20,9.22,few clouds
231,Lompoc,US,2022-02-04 22:32:17,34.6391,-120.4579,71.22,34,0,9.22,clear sky
232,Bergen,NO,2022-02-04 22:32:41,60.392,5.328,38.64,90,75,10.36,broken clouds
233,Warrington,GB,2022-02-04 22:30:01,53.3925,-2.5802,42.46,82,40,5.01,scattered clouds
234,Auki,SB,2022-02-04 22:32:41,-8.7676,160.7034,81.82,84,100,8.23,overcast clouds
235,North Bend,US,2022-02-04 22:32:41,43.4065,-124.2243,52.25,93,100,6.91,overcast clouds
236,Asosa,ET,2022-02-04 22:32:42,10.0667,34.5333,64.15,22,44,7.23,scattered clouds
237,Tuatapere,NZ,2022-02-04 22:32:42,-46.1333,167.6833,55.81,58,96,4.18,overcast clouds
238,Carnarvon,AU,2022-02-04 22:32:43,-24.8667,113.6333,77.07,65,76,9.22,broken clouds
239,Lima,PE,2022-02-04 22:30:01,-12.0432,-77.0282,76.39,79,0,1.99,clear sky
240,Domoni,KM,2022-02-04 22:32:43,-12.2569,44.5319,79.16,82,100,5.84,light rain
241,Arman,RU,2022-02-04 22:32:43,59.7,150.1667,-2.6,72,85,12.8,overcast clouds
242,Stokmarknes,NO,2022-02-04 22:32:44,68.5646,14.9108,26.49,88,100,9.53,overcast clouds
243,Miri,MY,2022-02-04 22:30:13,4.4148,114.0089,73.54,100,40,2.3,scattered clouds
244,Hengshui,CN,2022-02-04 22:32:44,37.7322,115.7011,22.96,39,29,1.97,scattered clouds
245,Otorohanga,NZ,2022-02-04 22:32:45,-38.1833,175.2,83.57,59,94,5.64,overcast clouds
246,Pangnirtung,CA,2022-02-04 22:32:45,66.1451,-65.7125,-18.4,69,75,6.91,broken clouds
247,Taonan,CN,2022-02-04 22:32:45,45.3333,122.7833,-5.21,80,5,7.38,clear sky
248,Maningrida,AU,2022-02-04 22:32:45,-12.0667,134.2667,79.14,82,97,7.52,overcast clouds
249,Christchurch,NZ,2022-02-04 22:30:59,-43.5333,172.6333,57.9,91,100,4.0,mist
250,Saint George,US,2022-02-04 22:31:01,37.1041,-113.5841,51.26,21,0,5.75,clear sky
251,Kolvereid,NO,2022-02-04 22:32:46,64.8655,11.6047,36.63,65,100,22.3,overcast clouds
252,Knyaze-Volkonskoye,RU,2022-02-04 22:32:46,48.4642,135.4567,-19.86,98,100,2.95,overcast clouds
253,Manuk Mangkaw,PH,2022-02-04 22:32:47,4.8,119.85,80.22,78,97,7.14,overcast clouds
254,Grand Baie,MU,2022-02-04 22:31:14,-20.0182,57.5802,79.45,83,100,8.01,overcast clouds
255,Santa Cruz,BO,2022-02-04 22:32:47,-17.8,-63.1667,82.45,74,75,13.8,broken clouds
256,Aripuana,BR,2022-02-04 22:32:47,-9.1667,-60.6333,74.93,96,99,0.96,overcast clouds
257,Mabaruma,GY,2022-02-04 22:32:48,8.2,-59.7833,73.71,86,8,3.87,clear sky
258,Caapucu,PY,2022-02-04 22:32:48,-26.2167,-57.2,74.17,92,86,6.33,moderate rain
259,Salalah,OM,2022-02-04 22:32:48,17.0151,54.0924,71.69,68,20,1.14,few clouds
